Time (s),Channel 1 (V),Channel 2 (V)
0.0113765175,-1.523446405579029,-0.02135334929195171
0.0113767875,-1.534580103483858,-0.02169081194026422
0.0113770575,-1.549425034023619,-0.02169081194026469
0.0113773275,-1.560558731928458,-0.02202827458857628
0.0113775975,-1.579114895103167,-0.02169081194026422
0.0113778675,-1.597671058277861,-0.0216908119402653
0.0113781375,-1.608804756182699,-0.0220282745885769
0.0113784075,-1.623649686722372,-0.0220282745885769
0.0113786775,-1.642205849897072,-0.02236573723688895
0.0113789475,-1.653339547801911,-0.02202827458857736
0.0113792175,-1.671895710976609,-0.0220282745885769
0.0113794875,-1.683029408881441,-0.0220282745885769
0.0113797575,-1.697874339421207,-0.0220282745885769
0.0113800275,-1.709008037326032,-0.02202827458857674
0.0113802975,-1.720141735230864,-0.02169081194026453
0.0113805675,-1.738697898405568,-0.02202827458857643
0.0113808375,-1.753542828945328,-0.02169081194026484
0.0113811075,-1.764676526850162,-0.0220282745885769
0.0113813775,-1.779521457389834,-0.0220282745885769
0.0113816475,-1.790655155294673,-0.02236573723688849
0.0113819175,-1.801788853199498,-0.02236573723688957
0.0113821875,-1.820345016374187,-0.02202827458857766
0.0113824575,-1.831478714279029,-0.0220282745885769
0.0113827275,-1.842612412183859,-0.0220282745885769
0.0113829975,-1.857457342723623,-0.0220282745885769
0.0113832675,-1.86859104062845,-0.02169081194026422
0.0113835375,-1.879724738533278,-0.0220282745885769
0.0113838075,-1.898280901707977,-0.0220282745885769
0.0113840775,-1.905703366977866,-0.02202827458857736
0.0113843475,-1.916837064882698,-0.02236573723688895
0.0113846175,-1.931681995422456,-0.0220282745885769
0.0113848875,-1.942815693327282,-0.02202827458857505
0.0113851575,-1.953949391232107,-0.02135334929195048
0.0113854275,-1.965083089136861,-0.0210158866436398
0.0113856975,-1.972505554406755,-0.02067842399532697
0.0113859675,-1.983639252311572,-0.02135334929195033
0.0113862375,-1.994772950216397,-0.02101588664363934
0.0113865075,-2.005906648121222,-0.02135334929195125
0.0113867775,-2.009617880756171,-0.02202827458857659
0.0113870475,-2.020751578660993,-0.0220282745885769
0.0113873175,-2.028174043930886,-0.0220282745885769
0.0113875875,-2.043018974470643,-0.0220282745885769
0.0113878575,-2.05044143974054,-0.02202827458857628
0.0113881275,-2.065286370280299,-0.02169081194026499
0.0113883975,-2.076420068185104,-0.0220282745885769
0.0113886675,-2.080131300820022,-0.0220282745885769
0.0113889375,-2.094976231359754,-0.0220282745885769
0.0113892075,-2.102398696629658,-0.02169081194026499
0.0113894775,-2.109821161899541,-0.02101588664364011
0.0113897475,-2.120954859804359,-0.02101588664363888
0.0113900175,-2.132088557709185,-0.02135334929195125
