Frequency (Hz),Trace 1 (V)
0,0.005040856605382248
24.4140625,0.004880161486864145
48.828125,0.003263161736792147
73.2421875,0.0009652639599792933
97.65625,8.599389180548845e-05
122.0703125,3.222375951212091e-05
146.484375,2.624266753482816e-05
170.8984375,3.414579340554656e-05
195.3125,3.929061225632386e-05
219.7265625,1.520587003063893e-05
244.140625,2.072369559219504e-05
268.5546875,3.291772715262109e-05
292.96875,3.988679431835685e-05
317.3828125,3.099512437244675e-05
341.796875,5.04302801712293e-06
366.2109375,2.399281564855929e-05
390.625,3.512051688346913e-05
415.0390625,2.576105171761875e-05
439.453125,3.57351726205182e-05
463.8671875,4.477009286546876e-05
488.28125,3.437773800487499e-05
512.6953125,1.81899146194935e-05
537.109375,2.938646455627832e-05
561.5234375,3.640892273825024e-05
585.9375,3.154454260612782e-05
610.3515625,3.071085425239457e-05
634.765625,3.576620195957424e-05
659.1796875,3.698129575079656e-05
683.59375,4.132601088936962e-05
708.0078125,4.540714819897837e-05
732.421875,4.228147399548302e-05
756.8359375,3.222569125333596e-05
781.25,2.959560639689878e-05
805.6640625,3.74673142640757e-05
830.078125,3.824374681931631e-05
854.4921875,3.926443357564444e-05
878.90625,3.806838627130056e-05
903.3203125,3.76657965130884e-05
927.734375,4.918861876808461e-05
952.1484375,4.796227993827572e-05
976.5625,4.179437415573809e-05
1000.9765625,3.215046802909275e-05
1025.390625,1.748883337638603e-05
1049.8046875,8.165708127374544e-06
1074.21875,1.045538386169247e-05
1098.6328125,2.806253119198817e-05
1123.046875,3.212349754310038e-05
1147.4609375,4.388965800142072e-05
1171.875,5.172652287754559e-05
1196.2890625,5.300627943797809e-05
1220.703125,6.491726199958497e-05
1245.1171875,6.434807080285779e-05
1269.53125,6.109847928825706e-05
1293.9453125,7.656856093091314e-05
1318.359375,8.403332116169748e-05
1342.7734375,7.501684817922747e-05
1367.1875,6.046074141971531e-05
1391.6015625,2.877766798245124e-05
1416.015625,1.449534140538942e-05
1440.4296875,3.356377461700313e-05
1464.84375,3.800553554016625e-05
1489.2578125,3.020697376894936e-05
1513.671875,2.922170278924194e-05
1538.0859375,3.722303937663605e-05
1562.5,3.29513616045549e-05
1586.9140625,3.199653183980252e-05
1611.328125,4.949486693496656e-05
1635.7421875,5.322435778991865e-05
1660.15625,5.010353639906275e-05
1684.5703125,4.564092732435954e-05
1708.984375,1.636613033144667e-05
1733.3984375,1.695631584531346e-05
1757.8125,1.580019519609405e-05
1782.2265625,2.868456879635294e-05
1806.640625,4.645490941132173e-05
1831.0546875,6.736177967250818e-05
1855.46875,6.229689643739042e-05
1879.8828125,3.429642144153389e-05
1904.296875,8.424718043450441e-06
1928.7109375,2.310202026647534e-05
1953.125,2.611252481068552e-05
1977.5390625,2.138530376480864e-05
2001.953125,2.250023061337884e-05
2026.3671875,1.100458311272587e-06
2050.78125,1.362507105439034e-05
2075.1953125,1.686743429585653e-05
2099.609375,2.385969419301162e-05
2124.0234375,2.680173780731582e-05
2148.4375,2.298416512491751e-05
2172.8515625,3.084552069467563e-05
2197.265625,4.674645729576189e-05
2221.6796875,4.277907811045074e-05
2246.09375,1.566232651534931e-05
2270.5078125,2.296799224500977e-05
2294.921875,5.879340635818714e-05
2319.3359375,6.914444676150641e-05
2343.75,6.587850449315256e-05
2368.1640625,6.136920430170746e-05
2392.578125,3.772662038556707e-05
2416.9921875,2.510073917366595e-05
2441.40625,1.451122143901616e-05
2465.8203125,1.346114911602605e-05
2490.234375,1.711652547084182e-05
2514.6484375,8.924232295022442e-06
2539.0625,5.417309315845744e-06
2563.4765625,1.255140254210539e-05
2587.890625,2.79067291479985e-05
2612.3046875,3.691325285063731e-05
2636.71875,4.545021329830378e-05
2661.1328125,6.029853977907372e-05
2685.546875,5.922599075357122e-05
2709.9609375,4.771044496872979e-05
2734.375,4.813994445535483e-05
2758.7890625,5.067302253980503e-05
2783.203125,4.730870428218771e-05
2807.6171875,3.400012836373198e-05
2832.03125,2.453920173635699e-05
2856.4453125,1.382095129830669e-05
2880.859375,1.091541597430813e-05
2905.2734375,1.365383600965164e-05
2929.6875,2.518331380712209e-05
2954.1015625,3.697552779934459e-05
2978.515625,5.441374956370842e-05
3002.9296875,6.689958374561977e-05
3027.34375,7.381702857324639e-05
3051.7578125,6.556772441256579e-05
3076.171875,6.011695407567489e-05
3100.5859375,6.425589060148946e-05
3125,5.104751474515114e-05
3149.4140625,4.780191849811203e-05
3173.828125,5.468281019862821e-05
3198.2421875,5.203609360831184e-05
3222.65625,5.509415489877926e-05
3247.0703125,6.757406712946316e-05
3271.484375,6.763979277422548e-05
3295.8984375,7.763653060230752e-05
3320.3125,8.575233118172755e-05
3344.7265625,0.0001071735504915746
3369.140625,0.0001400717348176513
3393.5546875,0.0001287071044496574
3417.96875,9.774234325650998e-05
3442.3828125,8.257004565338371e-05
3466.796875,6.660876602996067e-05
3491.2109375,5.013195171228377e-05
3515.625,1.368587768189887e-05
3540.0390625,7.91543349770254e-06
3564.453125,2.579600057971299e-05
3588.8671875,6.46926894650319e-05
3613.28125,8.932190823582899e-05
3637.6953125,8.173985975734213e-05
3662.109375,6.547992616980714e-05
3686.5234375,4.812091356749671e-05
3710.9375,2.49285754891197e-05
3735.3515625,1.660690977432891e-06
3759.765625,3.615371253638539e-05
3784.1796875,5.749438879777645e-05
3808.59375,5.885628206249873e-05
3833.0078125,4.341163962523852e-05
3857.421875,1.633209191207514e-05
3881.8359375,3.095312138516992e-05
3906.25,3.639339097732127e-05
3930.6640625,2.853642236032347e-05
3955.078125,2.075998140990818e-05
3979.4921875,1.759349296268877e-05
4003.90625,4.336969838929757e-05
4028.3203125,4.117944513765194e-05
4052.734375,3.138764694883319e-05
4077.1484375,3.338191776397233e-05
4101.5625,2.45217394932058e-05
4125.9765625,2.630523245098121e-05
4150.390625,2.119795485715484e-05
4174.8046875,9.846218110870638e-06
