Time (s),DIO 6,DIO 7
-10.235,0,1
-10.23,0,1
-10.225,0,1
-10.22,0,1
-10.215,0,1
-10.21,0,1
-10.205,0,1
-10.2,0,1
-10.195,0,1
-10.19,0,1
-10.185,0,1
-10.18,0,1
-10.175,0,1
-10.17,0,1
-10.165,0,1
-10.16,0,1
-10.155,0,1
-10.15,0,1
-10.145,0,1
-10.14,0,1
-10.135,0,1
-10.13,0,1
-10.125,0,1
-10.12,0,1
-10.115,0,1
-10.11,0,1
-10.105,0,1
-10.1,0,1
-10.095,0,1
-10.09,0,1
-10.085,0,1
-10.08,0,1
-10.075,0,1
-10.07,0,1
-10.065,0,1
-10.06,0,1
-10.055,0,1
-10.05,0,1
-10.045,0,1
-10.04,0,1
-10.035,0,1
-10.03,0,1
-10.025,0,1
-10.02,0,1
-10.015,0,1
-10.01,0,1
-10.005,0,1
-10,0,1
-9.994999999999999,0,1
-9.99,0,1
-9.984999999999999,0,1
-9.98,0,1
-9.975,0,1
-9.970000000000001,0,1
-9.965,0,1
-9.960000000000001,0,1
-9.955,0,1
-9.949999999999999,0,1
-9.945,0,1
-9.94,0,1
-9.935,0,1
-9.93,0,1
-9.925000000000001,0,1
-9.92,0,1
-9.914999999999999,0,1
-9.91,0,1
-9.904999999999999,0,1
-9.9,0,1
-9.895,0,1
-9.890000000000001,0,1
-9.885,0,1
-9.880000000000001,0,1
-9.875,0,1
-9.869999999999999,0,1
-9.865,0,1
-9.859999999999999,0,1
-9.855,0,1
-9.85,0,1
-9.845000000000001,0,1
-9.84,0,1
-9.835000000000001,0,1
-9.83,0,1
-9.824999999999999,0,1
-9.82,0,1
-9.815,0,1
-9.81,0,1
-9.805,0,1
-9.800000000000001,0,1
-9.795,0,1
-9.789999999999999,0,1
-9.785,0,1
-9.779999999999999,0,1
-9.775,0,1
-9.77,0,1
-9.765000000000001,0,1
-9.76,0,1
-9.755000000000001,0,1
-9.75,0,1
-9.744999999999999,0,1
-9.74,0,1
-9.734999999999999,0,1
-9.73,0,1
-9.725,0,1
-9.720000000000001,0,1
-9.715,0,1
-9.710000000000001,0,1
-9.705,0,1
-9.699999999999999,0,1
-9.695,0,1
-9.69,0,1
-9.685,0,1
-9.68,0,1
-9.675000000000001,0,1
-9.67,0,1
-9.664999999999999,0,1
-9.66,0,1
-9.654999999999999,0,1
-9.65,0,1
-9.645,0,1
-9.640000000000001,0,1
-9.635,0,1
-9.630000000000001,0,1
-9.625,0,1
-9.619999999999999,0,1
-9.615,0,1
-9.609999999999999,0,1
-9.605,0,1
-9.6,0,1
-9.595000000000001,0,1
-9.59,0,1
-9.585000000000001,0,1
-9.58,0,1
-9.574999999999999,0,1
-9.57,0,1
-9.565,0,1
-9.56,0,1
-9.555,0,1
-9.550000000000001,0,1
-9.545,0,1
-9.539999999999999,0,1
-9.535,0,1
-9.529999999999999,0,1
-9.525,0,1
-9.52,0,1
-9.515000000000001,0,1
-9.51,0,1
-9.505000000000001,0,1
-9.5,0,1
-9.494999999999999,0,1
-9.49,0,1
-9.484999999999999,0,1
-9.48,0,1
-9.475,0,1
-9.470000000000001,0,1
-9.465,0,1
-9.460000000000001,0,1
-9.455,0,1
-9.449999999999999,0,1
-9.445,0,1
-9.44,0,1
-9.435,0,1
-9.43,0,1
-9.425000000000001,0,1
-9.42,0,1
-9.414999999999999,0,1
-9.41,0,1
-9.404999999999999,0,1
-9.4,0,1
-9.395,0,1
-9.390000000000001,0,1
-9.385,0,1
-9.380000000000001,0,1
-9.375,0,1
-9.369999999999999,0,1
-9.365,0,1
-9.359999999999999,0,1
-9.355,0,1
-9.35,0,1
-9.345000000000001,0,1
-9.34,0,1
-9.335000000000001,0,1
-9.33,0,1
-9.324999999999999,0,1
-9.32,0,1
-9.315,0,1
-9.31,0,0
-9.305,0,0
-9.300000000000001,0,0
-9.295,1,0
-9.289999999999999,1,0
-9.285,1,0
-9.279999999999999,1,0
-9.275,1,0
-9.27,1,0
-9.265000000000001,1,0
-9.26,1,0
-9.255000000000001,1,0
-9.25,1,0
-9.244999999999999,1,0
-9.24,1,0
-9.234999999999999,1,0
-9.23,1,0
-9.225,1,0
-9.220000000000001,1,0
-9.215,1,0
-9.210000000000001,1,0
-9.205,1,0
-9.199999999999999,1,0
-9.195,1,0
-9.19,1,0
-9.185,1,0
-9.18,1,0
-9.175000000000001,1,0
-9.17,1,0
-9.164999999999999,1,0
-9.16,1,0
-9.154999999999999,1,0
-9.15,1,0
-9.145,1,0
-9.140000000000001,1,0
-9.135,1,0
-9.130000000000001,1,0
-9.125,1,0
-9.119999999999999,1,0
-9.115,1,0
-9.109999999999999,1,0
-9.105,1,0
-9.1,1,0
-9.095000000000001,1,0
-9.09,1,0
-9.085000000000001,1,0
-9.08,1,0
-9.074999999999999,1,0
-9.07,1,0
-9.065,1,0
-9.06,1,0
-9.055,1,0
-9.050000000000001,1,0
-9.045,1,0
-9.039999999999999,1,0
-9.035,1,0
-9.029999999999999,1,0
-9.025,1,0
-9.02,1,0
-9.015000000000001,1,0
-9.01,1,0
