Time (s),Channel 1 (V),Channel 2 (V)
0.01182207,-0.448976458155542,-0.4182094237076541
0.01182259,-0.4472893677245878,-0.4175344984110282
0.01182311,-0.4466145315522064,-0.4168595731144028
0.01182363,-0.4462771134660168,-0.4168595731144028
0.01182415,-0.4456022772936358,-0.415172259872841
0.01182467,-0.4442526049488736,-0.4144973345762145
0.01182519,-0.4435777687764915,-0.4134849466312759
0.01182571,-0.44256551451792,-0.4131474839829631
0.01182623,-0.4422280964317286,-0.4128100213346496
0.01182675,-0.4415532602593494,-0.412135096038026
0.01182727,-0.4405410060007772,-0.4107852454447747
0.01182779,-0.4402035879145854,-0.4097728574998364
0.01182831,-0.4388539155698269,-0.4094353948515246
0.01182883,-0.4381790793974444,-0.4084230069065874
0.01182935,-0.4375042432250627,-0.407748081609961
0.01182987,-0.436829407052681,-0.4067356936650223
0.01183039,-0.4361545708802993,-0.4060607683683964
0.01183091,-0.4351423166217274,-0.4050483804234587
0.01183143,-0.4344674804493482,-0.4047109177751469
0.01183195,-0.433455226190776,-0.4036985298302087
0.01183247,-0.4324429719322039,-0.4033610671818956
0.01183299,-0.4314307176736346,-0.4026861418852719
0.01183351,-0.4310932995874427,-0.401673753940334
0.01183403,-0.4307558815012519,-0.4009988286437076
0.01183455,-0.4300810453288705,-0.4003239033470819
0.01183507,-0.4297436272426792,-0.4003239033470803
0.01183559,-0.4287313729841061,-0.3986365901055179
0.01183611,-0.4273817006393477,-0.3982991274572062
0.01183663,-0.4260320282945843,-0.3966118142156425
0.01183715,-0.4253571921222031,-0.3959368889190175
0.01183767,-0.4250197740360133,-0.3966118142156413
0.01183819,-0.4240075197774425,-0.3949245009740814
0.01183871,-0.4233326836050604,-0.3945870383257666
0.01183923,-0.422657847432679,-0.3939121130291411
0.01183975,-0.4216455931741062,-0.3932371877325149
0.01184027,-0.4202959208293434,-0.392224799787576
0.01184079,-0.4192836665707746,-0.3912124118426407
0.01184131,-0.4182714123122021,-0.3905374865460144
0.01184183,-0.4175965761398204,-0.3895250986010758
0.01184235,-0.4162469037950575,-0.3881752480078243
0.01184287,-0.4152346495364886,-0.3871628600628891
0.01184339,-0.4145598133641065,-0.3868253974145752
0.01184391,-0.4135475591055346,-0.3854755468213243
0.01184443,-0.4132101410193425,-0.3851380841730101
0.01184495,-0.4115230505883904,-0.3834507709314479
0.01184547,-0.4108482144160109,-0.383113308283136
0.01184599,-0.4098359601574392,-0.3821009203381981
0.01184651,-0.4088237058988672,-0.3810885323932595
0.01184703,-0.4088237058988654,-0.3807510697449455
0.01184755,-0.4074740335541069,-0.3797386818000103
0.01184807,-0.4064617792955344,-0.3787262938550718
0.01184859,-0.4054495250369619,-0.3783888312067583
0.01184911,-0.4040998526921985,-0.377376443261819
0.01184963,-0.4027501803474362,-0.3760265926685677
0.01185015,-0.4017379260888669,-0.3746767420753201
0.01185067,-0.4014005080026756,-0.3743392794270063
0.01185119,-0.400050835657913,-0.3733268914820678
0.01185171,-0.3993759994855319,-0.3726519661854419
0.01185223,-0.3990385813993422,-0.3716395782405062
0.01185275,-0.3980263271407711,-0.3702897276472553
0.01185327,-0.3970140728821985,-0.3699522649989415
0.01185379,-0.3966766547960068,-0.3689398770540025
0.01185431,-0.3953269824512445,-0.3679274891090636
0.01185483,-0.3943147281926757,-0.3665776385158165
0.01185535,-0.3929650558479127,-0.3655652505708772
0.01185587,-0.3912779654169589,-0.3648903252742509
0.01185639,-0.3899282930721971,-0.363877937329313
0.01185691,-0.3895908749860073,-0.3635404746810011
0.01185743,-0.3889160388136264,-0.3625280867360636
0.01185795,-0.3879037845550542,-0.3615156987911247
0.01185847,-0.3865541122102916,-0.3608407734944989
0.01185899,-0.3855418579517195,-0.3598283855495595
0.01185951,-0.3848670217793403,-0.3584785349563124
0.01186003,-0.3835173494345779,-0.3578036096596856
0.01186055,-0.3825050951760057,-0.3567912217147473
0.01186107,-0.3811554228312432,-0.3557788337698086
0.01186159,-0.3808180047450536,-0.3551039084731851
